的	〔白勹丶󰁶・rqyy〕
晦	〔日𠂉母󰁶・jtxy〕
颐	〔匚丨口贝・ahkm〕
慑	〔忄耳又又・nbcc〕
肽	〔月大丶󰁶・edyy〕
翊	〔立羽󰀝・ung〕
堰	〔土匚日女・fajv〕
蛙	〔虫土土󰀝・jffg〕
蚜	〔虫󰀂亅丿・jaht〕
娜	〔女𠃌󰀠阝・vngb〕
炔	〔火󰁄人󰁶・onwy〕
垃	〔土立󰀝・fug〕
钼	〔钅目󰀝・qhg〕
刁	〔𠃌󰀞󰀌・ngd〕
鸽	〔人一口一・wgkg〕
梧	〔木五口󰀝・sgkg〕
殉	〔一夕勹日・gqqj〕
憋	〔丷冂󰅏心・umin〕
婢	〔女白丿十・vrtf〕
妒	〔女丶尸ノ・vynt〕
窘	〔宀八󰁬口・pwvk〕
泾	〔氵ス工󰀝・icag〕
漪	〔氵犭ノ口・iqtk〕
筵	〔⺮丿止廴・tthp〕
搀	〔扌⺈口󰁦・rqku〕
矾	〔石几丶󰁶・dwyy〕
柑	〔木艹二󰀝・safg〕
撩	〔扌大丷小・rdui〕
劾	〔亠ㄥ丿力・ynte〕
嫣	〔女一止灬・vgho〕
咪	〔口米󰁶・koy〕
焘	〔三丿寸灬・dtfo〕
雉	〔𠂉大亻󰁷・tdwy〕
遏	〔日勹人辶・jqwp〕
蔷	〔艹十䒑口・afuk〕
胭	〔月囗大󰁶・eldy〕
炬	〔火匚󰁃󰀝・oang〕
粕	〔米白󰀝・org〕
弋	〔弋一󰁒丶・ayi〕
璇	〔王方𠂉󰁾・gyth〕
颅	〔󰀥尸丆贝・hndm〕
觜	〔止匕⺈丨・hxqh〕
磋	〔石䒑󰀠工・duga〕
馅	〔⺈󰁐⺈臼・qnqe〕
踌	〔口止三寸・khdf〕
澎	〔氵士口彡・ifke〕
蛹	〔虫󰁻月丨・jceh〕
伫	〔亻宀一󰀝・wpgg〕
奚	〔爫ㄠ大󰁧・exdu〕
岑	〔山人丶乛・mwyn〕
缭	〔纟大丷小・xdui〕
谟	〔讠艹日大・yajd〕
髡	〔󰀍厶彡儿・dceq〕
伯	〔亻白󰀝・wrg〕
瞄	〔目艹田󰀝・halg〕
钛	〔钅大丶󰁶・qdyy〕
陇	〔阝ヒ丶・bdxy〕
轲	〔车丁口󰀝・lskg〕
羧	〔䒑󰀠厶夂・ugct〕
疤	〔疒巴󰁫・ucv〕
苔	〔艹厶口󰀘・ackf〕
嘟	〔口土丿阝・kftb〕
铰	〔钅亠八乂・qywr〕
卣	〔󰀥冂󰁃一・hmng〕
惺	〔忄日丿主・njtg〕
讷	〔讠冂人󰁶・ymwy〕
辗	〔车尸󰁺󰀖・lnae〕
茉	〔艹一木󰁧・agsu〕
徭	〔彳爫󰅎山・term〕
妾	〔立女󰀘・uvf〕
隧	〔阝䒑󰀓辶・buep〕
弈	〔亠󰁖廾󰀬・yoaj〕
惋	〔忄宀夕⺋・npqb〕
荃	〔艹人王󰀘・awgf〕
褶	〔衤󰁧羽白・punr〕
蜿	〔虫宀夕⺋・jpqb〕
痪	〔疒⺈ㄇ大・uqmd〕
哮	〔口土丿子・kftb〕
呃	〔口厂⺋󰁀・kdbn〕
怡	〔忄厶口󰀝・nckg〕
遁	〔⺁十目辶・rfhp〕
悸	〔忄禾子󰀝・ntbg〕
俟	〔亻厶𠂉大・wctd〕
锂	〔钅日土󰀝・qjfg〕
蚵	〔虫丁口󰀝・jskg〕
祷	〔礻󰁶三寸・pydf〕
芭	〔艹巴󰀅・acb〕
犀	〔尸氺丿󰀟・nitg〕
恤	〔忄丿皿󰀝・ntlg〕
沣	〔氵三丨󰀢・idhh〕
窦	〔宀八十大・pwfd〕
篝	〔⺮󰀀冂土・tamf〕
埂	〔土一日乂・fgjr〕
巅	〔山十󰀣贝・mfhm〕
蔼	〔艹讠日󰄃・ayjn〕
轵	〔车口八󰁶・lkwy〕
钴	〔钅古󰀝・qdg〕
帚	〔彐冖冂丨・vpmh〕
蕃	〔艹丿米田・atol〕
斛	〔⺈月丨十・qehf〕
耘	〔三󰅇二厶・difc〕
嬷	〔女广木厶・vosc〕
甥	〔丿主田力・tgle〕
荸	〔艹十冖子・afpb〕
酋	〔丷西一󰀘・usgf〕
叨	〔口刀ノ・kvt〕
猿	〔犭ノ土󰀔・qtfe〕
馨	〔士󰁅几日・fnwj〕
铐	〔钅土丿ㄅ・qftn〕
瑶	〔王爫󰅎山・germ〕
祆	〔礻󰁶一大・pygd〕
锑	〔钅丷弓丿・quxt〕
蜗	〔虫口冂人・jkmw〕
刭	〔ス工刂󰀢・cajh〕
葆	〔艹亻口木・awks〕
弼	〔弓丆日弓・xdjx〕
缤	〔纟宀󰅍八・xprw〕
瘠	〔疒󰀪人月・uiwe〕
曳	〔日󰅅󰀏・jxe〕
屹	〔山𠂉乙󰁀・mtnn〕
戍	〔厂丶󰅅丶・dyxy〕
茁	〔艹凵山󰀬・abmj〕
毓	〔𠂉母亠󰀸・txyk〕
楦	〔木宀一一・spgg〕
锲	〔钅三丨大・qdhd〕
谍	〔讠廿󰄃木・yans〕
燎	〔火大丷小・odui〕
捅	〔扌󰁻月丨・rceh〕
苷	〔艹艹二󰀘・aaff〕
茴	〔艹囗口󰀘・alkf〕
蛟	〔虫亠八乂・jywr〕
臆	〔月立日心・eujn〕
匕	〔匕丿乚・xtn〕
徊	〔彳囗口󰀝・tlkg〕
毗	〔田󰁴匕󰁀・lxxn〕
淇	〔氵艹三八・iadw〕
檄	〔木白方夂・sryt〕
懋	〔木󰁻乛心・scnn〕
荀	〔艹勹日󰀘・aqjf〕
噜	〔口󰁢一日・kqgj〕
梓	〔木立十󰀢・sufh〕
贽	〔扌九丶贝・rvym〕
蠡	〔󰅂一󰀓虫・xgej〕
漱	〔氵一口人・igkw〕
迦	〔力口辶󰀌・ekpd〕
懊	〔忄丿ㄇ大・ntmd〕
愕	〔忄口口ㄅ・nkkn〕
帛	〔白冂丨󰀬・rmhj〕
咙	〔口ヒ丶・kdxy〕
渝	〔氵人一刂・iwgj〕
卅	〔一川󰀵・gkk〕
啪	〔口扌白󰀝・krrg〕
炙	〔󰁝火󰁧・qou〕
睾	〔丿罒土十・tlff〕
诋	〔讠󰁚󰀁丶・yqay〕
桢	〔木󰀥贝󰁶・shmy〕
贻	〔贝厶口󰀝・mckg〕
褙	〔衤󰁧丬月・puue〕
鲂	〔󰁢󰀞方ノ・qgyt〕
碲	〔石亠丷丨・dyuh〕
菇	〔艹女古󰀘・avdf〕
俏	〔亻⺌月󰀝・wieg〕
闰	〔门王󰀌・ugd〕
萃	〔艹亠人十・aywf〕
嗳	〔口爫冖又・kepc〕
嫡	〔女亠丷古・vyud〕
劓	〔丿目田刂・thlj〕
俾	〔亻白丿十・wrtf〕
菡	〔艹了󰀪凵・abib〕
惴	〔忄山丆〢・nmdj〕
遽	〔󰅋七一辶・hagp〕
锚	〔钅艹田󰀝・qalg〕
伽	〔亻力口󰀝・wekg〕
坳	〔土ㄠ力ノ・fxet〕
渲	〔氵宀一一・ipgg〕
铛	〔钅⺌彐󰀝・qivg〕
囤	〔囗一凵乚・lgbn〕
涸	〔氵囗古󰀝・ildg〕
潇	〔氵艹󰁬󰀯・iavj〕
晖	〔日冖车󰀢・jplh〕
吠	〔口大丶󰁶・kdyy〕
莹	〔艹冖王丶・apgy〕
灏	〔氵日亠贝・ijym〕
捡	〔扌人一一・rwgg〕
磊	〔石石石󰀘・dddf〕
糜	〔广木木米・osso〕
掇	〔扌又又又・rccc〕
擎	〔艹勹口手・aqkr〕
戟	〔十日十戈・fjfa〕
黯	〔󰀹土灬日・lfoj〕
哆	〔口夕夕󰁶・kqqy〕
醚	〔西一米辶・sgop〕
箍	〔⺮扌匚丨・trah〕
嗒	〔口艹人口・kawk〕
悒	〔忄口巴󰁀・nkcn〕
锹	〔钅禾火󰁶・qtoy〕
袒	〔衤󰁧日一・pujg〕
踊	〔口止󰁻丨・khch〕
啧	〔口主贝󰁶・kgmy〕
砝	〔石土厶󰁶・dfcy〕
呛	〔口人⺋󰁀・kwbn〕
躇	〔口止艹日・khaj〕
吮	〔口厶儿󰁀・kcqn〕
眩	〔目亠ㄠ󰁶・hyxy〕
檬	〔木艹冖󰀓・sape〕
铣	〔钅丿土儿・qtfq〕
茗	〔艹夕口󰀘・aqkf〕
腑	〔月广亻寸・eowf〕
绫	〔纟土八夂・xfwt〕
褒	〔亠亻口󰀔・ywke〕
畿	〔ㄠㄠ戈田・xxal〕
倪	〔亻臼儿󰁀・weqn〕
铮	〔钅⺈󰁬亅・qqvh〕
矽	〔石夕󰁶・dqy〕
踉	〔口止丶󰀖・khye〕
筏	〔⺮亻戈󰁧・twau〕
剃	〔丷弓丨刂・uxhj〕
坂	〔土⺁又󰁶・frcy〕
蜇	〔扌斤虫󰁧・rrju〕
髦	〔󰀍厶彡乚・dcen〕
绎	〔纟又󰀟󰀢・xcgh〕
隅	〔阝日冂丶・bjmy〕
攒	〔扌丿土贝・rtfm〕
甭	〔丆卜月丨・dheh〕
孽	〔艹亻󰁃子・awnb〕
蜒	〔虫丿止廴・jthp〕
狩	〔犭ノ宀寸・qtpf〕
虔	〔󰅋七文󰀦・hayi〕
嘹	〔口大丷小・kdui〕
辎	〔车巛田󰀝・lvlg〕
卯	〔󰁚丿卩󰀢・qtbh〕
祚	〔礻󰁶𠂉二・pytf〕
翟	〔羽亻󰁷󰀘・nwyf〕
瞥	〔丷冂󰅏目・umih〕
芸	〔艹二厶󰁧・afcu〕
沐	〔氵木󰁶・isy〕
黍	〔禾人氺󰁧・twiu〕
赘	〔主󰁡夂贝・gqtm〕
匝	〔匚冂丨󰀵・amhk〕
皑	〔白山己󰁀・rmnn〕
瘪	〔疒丿目匕・uthx〕
憨	〔乛耳夂心・nbtn〕
咆	〔口勹巳󰁀・kqnn〕
驭	〔󰀊󰀞又󰁶・cgcy〕
蒿	〔艹亠口口・aykk〕
蝈	〔虫囗王丶・jlgy〕
刽	〔人二厶刂・wfcj〕
骸	〔󰀾月亠人・meyw〕
唠	〔口艹冖力・kape〕
黩	〔󰀹土灬大・lfod〕
舀	〔爫臼󰀘・eef〕
黝	〔󰀹土灬力・lfoe〕
瘟	〔疒日皿󰀌・ujld〕
瑙	〔王巛丿乂・gvtr〕
咔	〔口󰀥一卜・khgh〕
鬓	〔󰀍厶彡八・dcew〕
斡	〔十日十十・fjff〕
诣	〔讠匕日󰀝・yxjg〕
怠	〔厶口心󰁧・cknu〕
撵	〔扌二人车・rfwl〕
濂	〔氵广䒑󰁗・iouo〕
妞	〔女󰁈丨二・vnhf〕
眈	〔目冖󰁜󰁀・hpqn〕
匡	〔匚王󰀌・agd〕
啮	〔口止人凵・khwb〕
泞	〔氵宀丁󰀢・ipsh〕
肄	〔匕𠂉大󰀟・xtdg〕
钜	〔钅匚󰁃󰀝・qang〕
锏	〔钅门日󰀝・qujg〕
仕	〔亻士󰀝・wfg〕
荼	〔艹人一木・awgs〕
桧	〔木人二厶・swfc〕
矗	〔十󰀣十󰀣・fhfh〕
唬	〔口󰅋七几・khaw〕
伶	〔亻人丶󰁻・wwyc〕
萤	〔艹冖虫󰁧・apju〕
仝	〔人工󰀘・waf〕
懦	〔忄󰀙丆〢・nfdj〕
怅	〔忄丿七󰂃・ntay〕
盔	〔火皿󰀘・dolf〕
芙	〔艹二人󰁧・afwu〕
舐	〔丿古󰁚弋・tdqa〕
蹂	〔口止󰁻木・khcs〕
惦	〔忄广󰀥口・nohk〕
匾	〔匚丶尸艹・ayna〕
霹	〔󰀙尸口十・fnkf〕
腋	〔月亠亻丶・eywy〕
阡	〔阝丿十󰀢・btfh〕
瓢	〔覀二小󰂃・sfiy〕
羹	〔丷王灬大・ugod〕
掐	〔扌⺈臼󰀝・rqeg〕
佯	〔亻䒑󰀟󰀢・wugh〕
盅	〔口丨皿󰀘・khlf〕
恸	〔忄二厶力・nfce〕
骼	〔󰀾月夂口・metk〕
盎	〔ㄇ大皿󰀘・mdlf〕
壬	〔丿士󰀌・tfd〕
侉	〔亻大二ㄅ・wdfn〕
噗	〔口󰅊一人・kogw〕
猥	〔犭ノ田󰀖・qtle〕
芥	〔艹人󰀯󰀬・awjj〕
帧	〔冂丨󰀥贝・mhhm〕
赍	〔十人人贝・fwwm〕
溺	〔氵弓冫冫・ixuu〕
砰	〔石一丷十・dguf〕
诙	〔讠火󰁶・ydoy〕
逍	〔⺌月辶󰀌・iepd〕
笠	〔⺮立󰀘・tuf〕
酉	〔西一󰀌・sgd〕
沅	〔氵二儿󰁀・ifqn〕
榄	〔木〢𠂉󰁜・sjtq〕
瓯	〔匚乂一丶・argy〕
髫	〔󰀍厶彡口・dcek〕
阑	〔门一󰀹󰅇・ugli〕
橄	〔木乛耳夂・snbt〕
焓	〔火人丶口・owyk〕
蘑	〔艹广木石・aosd〕
柠	〔木宀丁󰀢・spsh〕
炻	〔火石󰀝・odg〕
铂	〔钅白󰀝・qrg〕
淞	〔氵木八厶・iswc〕
瀚	〔氵十日羽・ifjn〕
氩	〔󰅎⺄一一・rngg〕
觥	〔⺈月丨儿・qehq〕
脓	〔月冖󰀔󰁶・epey〕
缮	〔纟䒑󰀟口・xugk〕
舔	〔丿古一⺗・tdgn〕
阉	〔门大日乚・udjn〕
拽	〔扌日󰅅ノ・rjxt〕
憧	〔忄立日土・nujf〕
钲	〔钅一止󰀝・qghg〕
肮	〔月亠几󰁀・eywn〕
恬	〔忄丿古󰀝・ntdg〕
蟆	〔虫艹日大・jajd〕
疵	〔疒止匕󰁫・uhxv〕
篓	〔⺮米女󰀘・tovf〕
漾	〔氵丷王󰀩・iugi〕
纂	〔⺮目大小・thdi〕
箐	〔⺮主月󰀘・tgef〕
跺	〔口止几木・khws〕
裴	〔丨三丨󰀔・hdhe〕
挞	〔扌大辶󰁶・rdpy〕
憬	〔忄日亠小・njyi〕
亢	〔亠几󰀅・ywb〕
懿	〔士冖一心・fpgn〕
侥	〔亻弋丿儿・watq〕
噬	〔口⺮工人・ktaw〕
峒	〔山冂一口・mmgk〕
饪	〔⺈󰁐丿士・qntf〕
荚	〔艹一丷大・agud〕
藕	〔艹三󰅇丶・adiy〕
韭	〔丨三丨一・hdhg〕
镣	〔钅大丷小・qdui〕
恿	〔󰁻月丨心・cehn〕
兀	〔一儿󰁫・gqv〕
噫	〔口立日心・kujn〕
恺	〔忄山己󰁀・nmnn〕
寰	〔宀罒一󰀔・plge〕
幺	〔ㄠㄠㄠㄠ・xxxx〕
霆	〔󰀙丿士廴・ftfp〕
碴	〔石木日一・dsjg〕
藐	〔艹豸白儿・aerq〕
酣	〔西一艹二・sgaf〕
榷	〔木冖亻󰁷・spwy〕
弁	〔厶廾󰀬・caj〕
翡	〔丨三丨羽・hdhn〕
桅	〔木⺈厂⺋・sqdb〕
掷	〔扌䒑大阝・rudb〕
诒	〔讠厶口󰀝・yckg〕
璞	〔王󰅊一人・gogw〕
瘀	〔疒方人󰁦・uywu〕
擂	〔扌󰀙田󰀝・rflg〕
窿	〔宀八阝主・pwbg〕
鳃	〔󰁢󰀞田心・qgln〕
掖	〔扌亠亻丶・rywy〕
觊	〔山󰁁ㄇ󰁜・mnmq〕
箔	〔⺮氵白󰀘・tirf〕
睫	〔目一󰁬󰁾・hgvh〕
冗	〔冖几󰀅・pwb〕
崛	〔山尸凵山・mnbm〕
熨	〔尸二小火・nfio〕
睬	〔目爫木󰁶・hesy〕
镐	〔钅亠口口・qykk〕
堑	〔车斤土󰀘・lrff〕
亘	〔一日一󰀘・gjgf〕
卦	〔土土卜󰁶・ffhy〕
踯	〔口止䒑阝・khub〕
佬	〔亻土丿匕・wftx〕
撂	〔扌田夂口・rltk〕
嗵	〔口󰁻月辶・kcep〕
贳	〔廿󰄃贝󰁧・anmu〕
煊	〔火宀一一・opgg〕
铎	〔钅又󰀟󰀢・qcgh〕
痞	〔疒丆卜口・udhk〕
酗	〔西一乂凵・sgrb〕
稷	〔禾田八夂・tlwt〕
甬	〔󰁻月丨󰀬・cehj〕
捺	〔扌大二小・rdfi〕
咄	〔口凵山󰀢・kbmh〕
漩	〔氵方𠂉󰁾・iyth〕
晏	〔日宀女󰀘・jpvf〕
氚	〔󰅎⺄川󰀬・rnkj〕
瘤	〔疒󰁚丶田・uqyl〕
砚	〔石ㄇ󰁜󰁀・dmqn〕
赭	〔土󰁖土日・fofj〕
鹊	〔󰁺日勹一・ajqg〕
阪	〔阝⺁又󰁶・brcy〕
绛	〔纟夂󰀂丨・xtah〕
诲	〔讠𠂉母󰁶・ytxy〕
匍	〔勹一月丶・qgey〕
喽	〔口米女󰀝・kovg〕
砩	〔石弓󰀯󰀢・dxjh〕
簦	〔⺮癶一䒑・twgu〕
臃	〔月亠󰁲󰁷・eyxy〕
佘	〔人二小󰁧・wfiu〕
诨	〔讠冖车󰀢・yplh〕
粽	〔米宀二小・opfi〕
蓟	〔艹󰁢󰀞刂・aqgj〕
郦	〔一冂丶阝・gmyb〕
漉	〔氵广󰁃匕・ionx〕
橘	〔木󰁻乛口・scnk〕
粼	〔米夕󰀂巜・oqab〕
惫	〔夂田心󰁧・tlnu〕
淄	〔氵巛田󰀝・ivlg〕
瑜	〔王人一刂・gwgj〕
咎	〔夂卜口󰀘・thkf〕
搔	〔扌又丶虫・rcyj〕
弛	〔弓也󰁀・xbn〕
涣	〔氵⺈ㄇ大・iqmd〕
痰	〔疒火火󰀦・uooi〕
浏	〔氵文刂󰀢・iyjh〕
溥	〔氵一月寸・igef〕
鸨	〔匕十勹一・xfqg〕
酐	〔西一干󰀢・sgfh〕
郛	〔爫孑阝󰀢・ebbh〕
塾	〔亠口孑土・ykbf〕
踵	〔口止丿土・khtf〕
狞	〔犭ノ宀丁・qtps〕
陂	〔阝󰅌又󰁶・bhcy〕
蓿	〔艹宀亻日・apwj〕
麝	〔广󰁃〢寸・onjf〕
瞩	〔目尸丿丶・hnty〕
邳	〔丆卜󰀞阝・dhgb〕
淅	〔氵木斤󰀢・isrh〕
驸	〔󰀊󰀞亻寸・cgwf〕
晟	〔日厂𠃌丶・jdny〕
聆	〔耳人丶󰁻・bwyc〕
悯	〔忄门文󰁶・nuyy〕
偾	〔亻十艹贝・wfam〕
拮	〔扌士口󰀝・rfkg〕
癣	〔疒󰁢󰀞󰀟・uqgg〕
暹	〔日亻󰁷辶・jwyp〕
胫	〔月ス工󰀝・ecag〕
榔	〔木丶彐阝・syvb〕
酪	〔西一夂口・sgtk〕
俐	〔亻禾刂󰀢・wtjh〕
纭	〔纟二厶󰁶・xfcy〕
轭	〔车厂⺋󰁀・ldbn〕
耄	〔土丿匕乚・ftxn〕
漕	〔氵一ㄇ日・igmj〕
锷	〔钅口口ㄅ・qkkn〕
鳔	〔󰁢󰀞覀小・qgsi〕
笆	〔⺮巴󰀅・tcb〕
狸	〔犭ノ日土・qtjf〕
墅	〔日土󰁻土・jfcf〕
巳	〔巳󰁈一乚・nngn〕
唁	〔口言󰀝・kyg〕
蓦	〔艹日大一・ajdg〕
蒺	〔艹疒𠂉大・autd〕
蔸	〔艹白󰁚儿・arqq〕
饬	〔⺈󰁐𠂉力・qnte〕
暨	〔彐厶󰀂一・vcag〕
瘁	〔疒亠人十・uywf〕
灸	〔ク󰂃火󰁧・qyou〕
缨	〔纟贝贝女・xmmv〕
剡	〔火火刂󰀢・oojh〕
杈	〔木又丶󰁶・scyy〕
椎	〔木亻󰁷󰀝・swyg〕
刍	〔⺈彐󰀘・qvf〕
嵊	〔山禾丬匕・mtux〕
衢	〔彳目目丁・thhs〕
镯	〔钅罒勹虫・qlqj〕
坞	〔土勹ㄅ一・fqng〕
缢	〔纟䒑八皿・xuwl〕
氘	〔󰅎⺄󰀯󰀬・rnjj〕
炖	〔火一凵乚・ogbn〕
坷	〔土丁口󰀝・fskg〕
姥	〔女土丿匕・vftx〕
摹	〔艹日大手・ajdr〕
霓	〔󰀙臼儿󰀅・feqb〕
抡	〔扌人匕󰁀・rwxn〕
旖	〔方𠂉大口・ytdk〕
砺	〔石厂一󰁡・ddgq〕
翎	〔人丶󰁻羽・wycn〕
麂	〔广󰁃〢几・onjw〕
轹	〔车丿󰄃小・ltni〕
蹑	〔口止耳又・khbc〕
萦	〔艹冖ㄠ小・apxi〕
馍	〔⺈󰁐艹大・qnad〕
缰	〔纟一田一・xglg〕
鸠	〔九勹丶一・vqyg〕
蟒	〔虫艹大廾・jada〕
糯	〔米󰀙丆〢・ofdj〕
趴	〔口止八󰁶・khwy〕
峪	〔山八人口・mwwk〕
猬	〔犭ノ田月・qtle〕
娄	〔米女󰀘・ovf〕
芊	〔艹丿十󰀬・atfj〕
杞	〔木己󰁀・snn〕
燧	〔火䒑󰀓辶・ouep〕
霏	〔󰀙丨三三・fhdd〕
蚌	〔虫三丨󰀢・jdhh〕
讹	〔讠亻ヒ󰁀・ywxn〕
怂	〔人人心󰁧・wwnu〕
夔	〔䒑丿目夂・utht〕
奂	〔⺈ㄇ大󰁧・qmdu〕
徨	〔彳白王󰀝・trgg〕
阏	〔门方人󰁦・uywu〕
彗	〔三丨三彐・dhdv〕
耆	〔土丿匕日・ftxj〕
曦	〔日丷王丶・jugy〕
迢	〔刀口辶󰀌・vkpd〕
俨	〔亻一󰅊厂・wgod〕
惘	〔忄冂䒑󰄃・nmun〕
姗	〔女󰀼󰀼一・vmmg〕
峨	〔山丿扌丶・mtry〕
皋	〔白大十󰀬・rdfj〕
鬃	〔󰀍厶彡小・dcei〕
谛	〔讠亠丷丨・yyuh〕
燮	〔言火火又・yooc〕
寐	〔宀󰄃丨󰅇・pnhi〕
涫	〔氵宀丨󰁃・iphn〕
栉	〔木艹ㄗ󰀢・sabh〕
靼	〔廿口十一・akfg〕
叼	〔口𠃌󰀞󰀝・kngg〕
篙	〔⺮亠口口・tykk〕
蝗	〔虫白王󰀝・jrgg〕
掳	〔扌󰅋七力・rhae〕
菁	〔艹主月󰀘・agef〕
榻	〔木日羽󰀝・sjng〕
滕	〔月䒑大氺・eudi〕
皎	〔白亠八乂・rywr〕
蚓	〔虫弓丨󰀢・jxhh〕
蝉	〔虫丷󰅐󰀢・julh〕
挎	〔扌大二ㄅ・rdfn〕
脐	〔月文󰀯󰀢・eyjh〕
偕	〔亻󰁴匕白・wxxr〕
兮	〔八一ㄅ󰀅・wgnb〕
杷	〔木巴󰁀・scn〕
袅	〔勹丶ㄅ󰀔・qyne〕
黜	〔󰀹土灬山・lfom〕
黥	〔󰀹土灬小・lfoi〕
瘾	〔疒阝⺈心・ubqn〕
蓑	〔艹亠口󰀔・ayke〕
厮	〔厂艹三斤・dadr〕
苄	〔艹亠卜󰁧・ayhu〕
拗	〔扌ㄠ力ノ・rxet〕
挢	〔扌丿大󰀯・rtdj〕
哽	〔口一日乂・kgjr〕
嘁	〔口厂󰀥丶・kdhy〕
狍	〔犭ノ勹巳・qtqn〕
饽	〔⺈󰁐十子・qnfb〕
昶	〔丶𠃌󰀩日・ynij〕
镓	〔钅宀一󰀓・qpge〕
沽	〔氵古󰀝・idg〕
驹	〔󰀊󰀞勹口・cgqk〕
潍	〔氵纟亻󰁷・ixwy〕
捋	〔扌爫寸󰁶・refy〕
哧	〔口土󰁖󰁶・kfoy〕
淙	〔氵宀二小・ipfi〕
枇	〔木󰁴匕󰁀・sxxn〕
懑	〔氵艹一心・iagn〕
靳	〔廿口十斤・akfr〕
囡	〔囗女󰀌・lvd〕
蜚	〔丨三丨虫・hdhj〕
瞟	〔目覀二小・hsfi〕
噎	〔口士冖䒑・kfpu〕
烨	〔火亻ヒ十・owxf〕
覃	〔覀日十󰀬・sjfj〕
蚣	〔虫八厶󰁶・jwcy〕
鲢	〔󰁢󰀞车辶・qglp〕
羌	〔䒑二󰁜󰀅・ufqb〕
茹	〔艹女口󰀘・avkf〕
赡	〔贝⺈厂言・mqdy〕
锨	〔钅斤⺈人・qrqw〕
讪	〔讠山󰀢・ymh〕
枸	〔木勹口󰀝・sqkg〕
貉	〔豸夂口󰀝・etkg〕
辙	〔车亠厶夂・lyct〕
咝	〔口󰁲󰁲一・kxxg〕
坍	〔土󰀼亠󰀝・fmyg〕
扈	〔丶尸口巴・ynkc〕
焙	〔火立口󰀝・oukg〕
蛾	〔虫丿扌丶・jtry〕
鲸	〔󰁢󰀞亠小・qgyi〕
倌	〔亻宀丨󰁃・wphn〕
秫	〔禾木丶󰁶・tsyy〕
癞	〔疒一口贝・ugkm〕
钒	〔钅几丶󰁶・qwyy〕
馁	〔⺈󰁐爫女・qnev〕
瓮	〔八厶一丶・wcgy〕
擀	〔扌十日干・rfjf〕
瞌	〔目土厶皿・hfcl〕
笞	〔⺮厶口󰀘・tckf〕
舵	〔丿󰁪宀匕・tepx〕
咦	〔口一弓人・kgxw〕
夯	〔大力󰁣・der〕
儆	〔亻艹勹夂・waqt〕
屐	〔尸彳十又・ntfc〕
犊	〔牜十乛大・tfnd〕
琶	〔王王巴󰀅・ggcb〕
栀	〔木⺁一⺋・srgb〕
箫	〔⺮󰁬󰅏󰀯・tvij〕
觞	〔⺈月丨󰁤・qehr〕
骋	〔󰀊󰀞由ㄅ・cgmn〕
擞	〔扌米女夂・rovt〕
炫	〔火亠ㄠ󰁶・oyxy〕
惮	〔忄丷󰅐󰀢・nulh〕
涟	〔氵车辶󰁶・ilpy〕
峦	〔亠󰁗山󰀬・yomj〕
磐	〔丿󰁪几石・tewd〕
腆	〔月ㄇ󰁺八・emaw〕
俸	〔亻三人󰀟・wdwg〕
溧	〔氵覀木󰁶・issy〕
鸥	〔匚乂勹一・arqg〕
攸	〔亻丨夂󰁶・whty〕
悚	〔忄一口󰅇・ngki〕
韬	〔二𠃌丨臼・fnhe〕
於	〔方人󰁦󰁶・ywuy〕
衽	〔衤󰁧丿士・putf〕
褚	〔衤󰁧土日・pufj〕
鲫	〔󰁢󰀞彐卩・qgvb〕
琵	〔王王󰁴匕・ggxx〕
砷	〔石日丨󰀢・djhh〕
亵	〔亠扌九󰀔・yrve〕
怦	〔忄一丷十・nguf〕
湄	〔氵󰁅目󰀝・inhg〕
铆	〔钅󰁚丿卩・qqtb〕
镊	〔钅耳又又・qbcc〕
莺	〔艹冖勹一・apqg〕
揍	〔扌三人大・rdwd〕
膺	〔广亻亻月・owwe〕
邃	〔宀八䒑辶・pwup〕
筠	〔⺮土勹冫・tfqu〕
雳	〔󰀙厂力󰁣・fder〕
郴	〔木木阝󰀢・ssbh〕
嬴	〔亠󰄃口丶・ynky〕
颀	〔斤丆贝󰁶・rdmy〕
遐	〔󰁃丨二辶・nhfp〕
鲥	〔󰁢󰀞日寸・qgjf〕
鼾	〔丿目田干・thlf〕
氖	〔󰅎⺄乃󰁣・rnbr〕
揖	〔扌口耳󰀝・rkbg〕
鄱	〔丿米田阝・tolb〕
蘩	〔艹𠂉母小・atxi〕
缪	〔纟羽人彡・xnwe〕
蜷	〔虫䒑大⺋・judb〕
靛	〔主月宀󰁾・geph〕
蝙	〔虫丶尸艹・jyna〕
豺	〔豸󰀛丿ノ・eftt〕
桓	〔木一日一・sgjg〕
惚	〔忄勹󰁤心・nqrn〕
悻	〔忄土䒑十・nfuf〕
娼	〔女日日󰀝・vjjg〕
滁	〔氵阝人木・ibws〕
涎	〔氵丿止廴・ithp〕
咛	〔口宀丁󰀢・kpsh〕
唢	〔口⺌贝󰁶・kimy〕
媛	〔女爫一又・vegc〕
馥	〔禾日𠂉夂・tjtt〕
厩	〔厂彐厶󰁜・dvcq〕
佚	〔亻󰅎人󰁶・wrwy〕
圪	〔土𠂉乙󰁀・ftnn〕
翦	〔䒑月刂羽・uejn〕
倩	〔亻主月󰀝・wgeg〕
冽	〔冫一夕刂・ugqj〕
嗤	〔口凵丨虫・kbhj〕
敕	〔一口󰅇夂・gkit〕
